Argentina,Austria,Belgium,Bolivia,Brazil,Canada,Chile,France,Germany,Japan,Mexico,Netherlands
143,916,147,431,262,2326,6,34,899,20,950,53
169,851,81,402,253,2169,6,32,836,11,980,31
130,699,62,431,275,1854,5,22,729,8,880,25
152,621,53,509,289,1769,6,18,665,7,933,24
166,562,38,454,311,1632,5,16,604,7,844,20
185,506,45,499,325,1445,4,12,542,8,855,17
172,565,43,491,339,1276,4,12,541,7,869,15
183,570,45,561,376,1173,6,8,497,6,909,15
205,553,29,513,406,1172,4,9,508,6,894,13
207,522,39,513,432,1078,5,11,573,6,823,16
211,539,36,625,390,940,5,9,603,7,776,14
219,529,30,501,370,951,5,7,508,13,815,15
223,488,26,419,409,858,7,6,418,9,780,16
243,513,14,335,378,752,8,5,367,6,770,17
232,496,14,303,344,785,8,5,344,5,660,13
261,454,15,281,317,786,10,5,338,5,759,17
272,499,7,286,302,724,11,6,329,3,753,14
252,483,11,343,288,707,8,5,313,3,774,14
215,374,9,381,284,744,7,6,332,3,737,15
238,385,9,347,291,736,9,7,387,2,790,16
228,449,14,359,298,774,10,9,443,2,713,15
250,517,16,477,312,752,8,8,502,2,731,16
271,520,16,425,281,801,6,8,595,1,786,19
234,505,21,346,271,931,6,9,615,1,856,21
234,481,33,342,300,1118,7,12,644,2,909,28
232,607,41,350,267,1427,6,16,675,3,994,28
227,647,31,393,245,1627,5,23,677,3,970,23
200,667,36,410,228,1770,4,31,729,4,988,22
191,684,58,405,226,1758,4,35,855,4,1158,24
182,802,65,391,250,1864,5,48,975,6,1181,25
167,656,63,419,260,2003,4,40,883,9,1163,23
174,646,47,431,247,2048,4,39,918,13,1171,24
160,781,65,417,264,2088,4,43,1044,20,1319,25
180,749,72,367,257,2228,5,41,1044,29,1372,26
165,845,96,389,251,2334,3,56,1037,37,1409,25
141,785,84,361,221,2418,4,63,985,41,1464,27
109,693,83,332,184,2520,3,72,1006,41,1615,28
109,803,83,312,167,2717,2,85,1046,37,1725,30
93,791,85,267,151,3008,2,120,1036,30,1654,27
87,793,109,235,156,3302,3,198,1022,26,1740,27
80,858,96,208,158,3722,3,209,1106,26,1617,29
82,964,113,197,157,3099,2,169,1030,26,1987,32
94,869,113,186,168,2748,2,155,910,38,3041,28
100,1070,137,224,159,2844,2,191,1014,62,2911,32
106,1250,294,248,167,2965,2,386,1139,114,2538,37
108,1348,531,232,165,3309,2,567,1381,210,2229,46
104,1453,976,225,197,3456,2,481,1615,332,2057,55
111,1607,900,208,224,3340,2,212,1982,478,2096,85
102,1469,530,245,237,3006,2,77,1922,655,1939,97
98,1207,196,300,230,2845,2,37,1592,748,1777,79
118,1053,110,369,231,2311,4,23,1258,750,1678,60
125,901,94,425,240,1847,3,23,1110,884,1555,46
131,783,66,444,252,1618,3,18,960,684,1485,40
129,686,45,418,241,1588,5,19,799,320,1159,31
138,643,48,411,268,1744,6,16,747,195,1207,31
158,631,41,517,267,1513,9,11,648,117,1174,21
180,609,40,513,261,1326,8,5,560,93,1112,19
182,524,32,521,306,1258,9,6,468,52,1081,17
219,544,37,423,332,1188,9,6,524,23,1040,17
265,512,37,421,362,1054,16,6,520,14,1071,16
319,563,38,401,365,920,23,7,503,8,1059,18
339,505,25,477,377,947,37,9,486,7,1010,17
380,513,29,437,362,760,63,9,436,5,990,17
373,521,24,524,406,776,68,7,415,4,949,17
344,461,15,510,387,783,58,7,408,3,873,16
372,493,14,438,349,770,34,7,438,3,815,17
379,453,15,368,315,743,28,6,476,2,810,17
339,535,23,319,288,778,23,7,542,2,830,15
379,486,18,352,265,616,18,6,461,2,847,16
346,516,18,355,256,635,11,7,422,2,795,16
285,456,14,345,251,588,6,5,446,2,822,12
